Changed?,String,String_di,Location,Notes,
,In a damp and grimy dungeon[;] some of your equipment is|bound to break eventually. It's lucky you're so good at|improvisation!,Si frecuentas mazmorras mugrientas y húmedas[;] el equipo se rompe|tarde o temprano. ¡Qué suerte que se te dé bien la improvisación!,Quests,Inventor Quest Description,
,The Witch Way,Por las brujas,Quests,Witch Quest name,
,Go work your usual magic!,¡Haz magia como solo tú sabes!,Quests,Witch Quest Description,
,Expect the Unexpected,Espera lo inesperado,Quests,Witch Quest name,
,They say a change is as good as a holiday - so[;] you know[;]|think of this as a holiday for your last spell slot.,Dicen que el cambio es tan bueno como unas vacaciones... Pues eso[;]|piensa en esto como las vacaciones de tu último espacio de hechizo.,Quests,Witch Quest Description,
,Countdown,Cuenta atrás,Quests,Witch Quest name,
,It's like magic - your first dice is always a 6! Your next[;] 5. Then 4. |Then 3... hope you've got something to do with that 1 when it arrives.,Es algo mágico... ¡tu primer dado siempre es un 6! El siguiente[;] un 5.|Después 4. Luego 3... Espero que tengas algo pensado para cuando llegue el 1.,Quests,Witch Quest Description,
,Jester's Journey,Travesía del bufón,Quests,Jester Quest name,
,Keep your cards close to your chest... oh yeah[;] by the way[;] you have cards now.,Ten las cartas siempre a mano... Ah[;] claro[;] por cierto: ahora tienes cartas.,Quests,Jester Quest Description,
,Multicard!,¡Multicarta!,Quests,Jester Quest name,
,Cool! Four cards instead of three!,¡Guay! ¡Cuatro cartas en lugar de tres!,Quests,Jester Quest Description,
,Not Just a Jester,Más que un bufón,Quests,Jester Quest name,
,A straightforward adventure for a straightforward warrior. But[;] uh[;] for a jester.,Una aventura directa para un guerrero directo. Pero... para un bufón.,Quests,Jester Quest Description,
,Losers[;] Weepers,Y si lo pierdes[;] mala suerte,Quests,Jester Quest name,
,Wait[;] maybe this is getting a bit much.,A lo mejor esto se nos ha ido de las manos.,Quests,Jester Quest Description,
,Classic Hardmode,Modo difícil clásico,Quests,Temporary quest available to all characters,
,Finished all the quests? Congratulations! More coming soon!|In the meantime[;] try the original [yellow]Hard Mode[].,¿Has terminado todas las misiones? ¡Enhorabuena! ¡Habrá más!|Mientras tanto prueba el [yellow]Modo difícil[] original.,Quests,Temporary quest description,
,Standard Rules.,Reglas estándar.,Quests,Rule description,
,Start with two upgraded [yellow]Ray Guns[].,Empieza con dos [yellow]pistolas de rayos[] mejoradas.,Quests,Rule description,
,All equipment you find is upgraded.,Todo el equipo que encuentras está mejorado.,Quests,Rule description,
,Inflicted with [curse]Curse[] at the start of every turn.,Sufre [curse]maldición[] al iniciar cada turno.,Quests,Rule description,
,Start with two [yellow]Blood Sucks[].,Empieza con dos [yellow]chupasangres[].,Quests,Rule description,
,Lose [heart]2[] max hp when you level up.,Pierde [heart]2[] PS máx. al subir de nivel.,Quests,Rule description,
,Choose one piece of enemy equipment to keep after each turn.,Elige una pieza de equipo enemigo para quedártela tras el turno.,Quests,Rule description,
,On your first turn[;] all dice rolls are 1. Second turn[;] all 2[;] and so on.,En tu primer turno sacas un 1 en todos los dados. En el segundo turno[;] todo 2[;]|y así sucesivamente.,Quests,Rule description,
,Calculate button disappears when you use any piece of equipment.,El botón Calcular desaparece cuando usas una pieza de equipo.,Quests,Rule description,
,No CPU counter. Create any dice you like!,Sin contador de CPU. ¡Crea el dado que quieras!,Quests,Rule description,
,Equipment randomly disappears for the turn as you create dice.,El equipo desaparece al azar durante el turno cuando creas dados.,Quests,Rule description,
,Find extra equipment.,Encuentra equipo extra.,Quests,Rule description,
,Make twice as many gadgets.,Fabrica el doble de artefactos.,Quests,Rule description,
,Don't create gadgets after each fight.,No crea artefactos tras cada pelea.,Quests,Rule description,
,All equipment breaks after 4 uses.,Todo el equipo se rompe tras 4 usos.,Quests,Rule description,
,Broken equipment immediately becomes a gadget.,El equipo roto se convierte en artefacto al instante.,Quests,Rule description,
,One spell slot contains a completely random spell each turn.,Un espacio contiene un hechizo al azar en cada turno.,Quests,Rule description,
,Your first dice roll is always a 6[;] the second a 5[;] etc.,Tu primera tirada siempre es un 6[;] la segunda un 5[;] etc.,Quests,Rule description,
,Enemies get 20% extra health.,El enemigo tiene un 20 % más de salud.,Quests,Rule description,
,All enemy equipment is upgraded.,Todo el equipo está mejorado.,Quests,Rule description,
,Congratulations! Quest complete!,¡Enhorabuena! ¡Misión completada!,Quests,,
,This quest isn't ready yet. Check back in a later version!,La misión no está lista aún. ¡Vuelve a comprobarlo en la próxima versión!,Quests,,
,Jester will return in v0.16!,¡El bufón volverá en la v0.16!,Character Selection,,
,(You can press TAB at any time to switch between {selectedlanguage} and English. Feedback welcome!),(Puedes pulsar TAB en cualquier momento para cambiar entre inglés y {selectedlanguage}. ¡Se agradecen los comentarios!),Language Selection,,
,The shopkeeper takes a look at your equipment.,La dueña de la tienda revisa tu equipo.,Trading Post,,
,She wants to make a trade!,¡Quiere hacer un trato!,Trading Post,,
,The shopkeeper laughs.,La dueña de la tienda se ríe.,Trading Post,,
,I knew you'd be back!,¡Sabía que volverías!,Trading Post,,
,Deal!,¡Trato hecho!,Trading Post,,
,No deal,No hay trato,Trading Post,,
,Your [yellow]{youritem}[][;] for her [yellow]{theiritem}[]. Deal?,Tu [yellow]{youritem}[] por su [yellow]{theiritem}[]. ¿Tenemos un trato?,Trading Post,,
,[quote]I'm here to have fun|and fight monsters!||Back home[;] I love|working out[;] long walks|on the beach[;] and|working out![quote],[quote]¡He venido a divertirme|y luchar con monstruos!||En mi día a día[;] disfruto|con el ejercicio[;] paseo|por la playa ¡y|hago más ejercicio![quote],Character Selection,Warrior intro text,
,[quote]Why am I here?|I'm here to win.||Everyone else is too[;]|of course - they're|just lying about it.[quote],[quote]¿Por qué he venido?|He venido a ganar.||El resto también[;]|por supuesto[;] pero...|¡es que están mintiendo![quote],Character Selection,Thief intro text,
,[quote]BEEP BOOP[;] HUMANS!||Haha[;] just joking[;] I can|definitely talk. I'm a|risk-taker with a taste|for adventure and|machine oil![quote],[quote]¡BIP[;] BUP[;] HUMANOS!||Ja[;] ja[;] estoy de broma[;]|sí que sé hablar. ¡Soy un|temerario que desayuna|aventuras y merienda|aceite de motor![quote],Character Selection,Robot intro text,
,[quote]Oh wow[;] how do you get|the spotlight to do that|neat swinging thing?||Oops[;] sorry[;] I mean[;]|thanks for having me|on the show![quote],[quote]Hala[;] ¿cómo haces|que el foco haga|eso de moverse?||Ups[;] perdona... Bueno[;]|¡gracias por invitarme|al programa![quote],Character Selection,Inventor intro text,
,[quote]Hey[;] everyone! I'm so|thrilled to be going on|this amazing adventure|with you.||Don't forget to follow|me for updates![quote],[quote]¡Hola a todos! Qué|ilusión participar en esta|fantástica aventura|contigo.||¡Sígueme para ver|todas las actualizaciones![quote],Character Selection,Witch intro text,
,[quote]I've turned on my|former boss[;] Lady Luck|herself[;] and joined a|hapless band of dice|people.||I have no regrets![quote],[quote]Me rebelé contra mi|antigua jefa[;] la mismísima|Fortuna[;] y me uní a|un grupete de dados|desamparados.||¡Y no me arrepiento![quote],Character Selection,Jester intro text,
,Rules,Reglas,Quests,Header text on rule description,
,Quit,Salir,Title Screen,,
,Enemy Moves,Movimientos enemigos,Combat,Button to preview enemy equipment,
,End Preview,Cerrar vista previa,Combat,Button to end enemy equipment preview phase,
,Start Windowed,Comenzar en ventana,Language Selection,,
,Start Fullscreen,Comenzar en pantalla completa,Language Selection,,
,(Esc) Settings,(Esc) Opciones,Title Screen,,
,Wins: <victorycount>,Victorias: <victorycount>,Character Selection,Number of times you’ve beaten the selected episode,
,incomplete,incompleto,Character Selection,Displayed if you have not beaten the selected episode,
,Episodes,Episodios,Character Selection,Header text on episode list,
,Start with two upgraded [yellow]Battle Axes[].,Empieza con dos [yellow]hachas de batalla[] mejoradas.,Episode Selection,Updated episode rules,
,Start with a [yellow]Venus Fly Trap[].,Empieza con una [yellow]venus atrapamoscas[].,Episode Selection,Updated episode rules,
,Missing: Lose [heart]2[] max hp when you level up.,Condición: Pierde [heart]2[] PS máx. al subir de nivel.,Episode Selection,Updated episode rules,
,This episode isn't ready yet. Check back in a later version!,El episodio no está listo aún. ¡Vuelve a comprobarlo en la próxima versión!,Episode Selection,Updated episode rules,
,When you create a dice[;] there is a 50% chance that equipment will randomly disappear.,Cuando creas un dado[;] hay una prob. del 50 % de que desaparezca equipo al azar.,Episode Selection,Updated episode rules,
,Start with double equipment[;] and upgraded [yellow]Hammers[].,Empieza con equipo doble y [yellow]martillos[] mejorados.,Episode Selection,Updated episode rules,
,All equipment is reuseable.,Todo el equipo es reutilizable.,Episode Selection,Updated episode rules,
,Start with a [yellow]Bumpblade[].,Empieza con una [yellow]espada impulsora[].,Episode Selection,Updated episode rules,
,New [yellow]Delete[] skills destroys cards permanently.,La nueva habilidad [yellow]Borrado[] destruye las cartas permanentemente.,Episode Selection,Updated episode rules,
,After defeating an enemy[;] keep all of their equipment.,Tras derrotar a un enemigo[;] te quedas todo su equipo.,Episode Selection,Updated episode rules,
,You can no longer see what cards are coming up next.,Ya no puedes ver las cartas que te van a tocar.,Episode Selection,Updated episode rules,
,Have four cards in your hand instead of three.,Tendrás cuatro cartas en la mano en lugar de tres.,Episode Selection,Updated episode rules,
,Settings,Opciones,Settings Menu,,
,Main volume:,Volumen principal:,Settings Menu,,
,Music volume:,Música:,Settings Menu,,
,SFX volume:,Efectos:,Settings Menu,,
,F12: Take Screenshot,F12: captura de pantalla,Settings Menu,,
,Fullscreen,Pantalla completa,Settings Menu,,
,Windowed,En ventana,Settings Menu,,
,Use HD sprites,Usar sprites HD,Settings Menu,,
,Close options,Cerrar opciones,Settings Menu,,
,Reset Progress,Restablecer progreso,Settings Menu,,
,Combat Animation: Very Fast,Animación de combate: muy rápida,Settings Menu,,
,Combat Animation: Fast,Animación de combate: rápida,Settings Menu,,
,Combat Animation: Medium,Animación de combate: normal,Settings Menu,,
,Combat Animation: Slow,Animación de combate: lenta,Settings Menu,,
,Next Level:,Siguiente nivel:,Level up,,
,Choose a reward!,¡elije una recompensa!,Level up,,
,(add to Backpack),(añadir a la mochila),Collecting equipment,Shown under collect button if something will be added to the backpack,
,Congratulations! Episode complete!,¡Enhorabuena! ¡Episodio terminado!,Game Complete,,
,Finders Keepers! Choose one piece of equipment to keep:,¡Quien lo encuentra se lo queda! Elige una pieza de equipo para quedártela:,Finders Keepers,,
,Finders Keepers! All enemy equipment is added to your deck!,¡Quien lo encuentra se lo queda! ¡Todo el equipo enemigo se añade a tu baraja!,Finders Keepers,,
,{odds}% of rolls cause errors,{odds} % de las tiradas causan errores,You Choose You Lose,,
,Mouse over,Pasa el cursor,Witch Spellbook,,
,to preview,para visualizar,Witch Spellbook,,
,SPELL SLOTS,ESPACIOS DE HECHIZO,Witch Spellbook,,
,Your prepared spells will be ready to use at the beginning of the battle,Tus hechizos preparados estarán listos para su uso al comenzar la pelea,Witch Spellbook,,
,SPELLBOOK,GRIMORIO,Witch Spellbook,,
,Spells in the spellbook can be prepared during battle by playing,Los hechizos del grimorio se pueden preparar durante el combate,Witch Spellbook,,
,dice corresponding to the spell on the spellbook,al jugar dados que correspondan con los hechizos del libro,Witch Spellbook,,
,Select a spell,Elige un hechizo,Witch Spellbook,,
,to replace,para reemplazarlo,Witch Spellbook,,
,Discard,Descartar,Jester Combat,,
,Discard matching cards,Descartar cartas iguales,Jester Combat,,
,Activate matching cards,Activar cartas iguales,Jester Combat,,
,{boosterpack} PACK,PAQUETE {boosterpack},Jester Level up,Offered a boosterpack eg DETONATOR PACK,
,{boosterpack} and 2x {supportcards},{boosterpack} y 2x {supportcards},Jester Level up,eg ICE SHATTER and 2x SNOWFLAKE,
,FINALE CARD,CARTA FINAL,Jester Combat,,
,Play every card in a,Juega todas las cartas en un,Jester Combat,,
,single turn to use,mismo turno para usar,Jester Combat,,
,[gray][medium](ready in {limitbreakhp} hp)[],[gray][medium](listo en {limitbreakhp} PS)[],Limit Break,,
,[yellow]Ready to use[],[yellow]Listo para usar[],Limit Break,,
,Welsh,Galés,Language,as it would appear in a language selection menu,
,No effect,Sin efecto,Equipment,Appears in description if equipment does nothing when used,
,[gray](Reuseable),[gray](Reutilizable),Equipment,Appears in description if equipment is reuseable,
,[gray](once per battle),[gray](una vez por combate),Equipment,Appears in description if equipment is once per battle only,
,Unavailable,No disponible,Combat,Displayed on equipment that cannot be used this turn,
,Needs a 1!,¡Requiere 1!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 2 or less!,¡Requiere 2 o menos!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 3 or less!,¡Requiere 3 o menos!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 4 or less!,¡Requiere 4 o menos!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 5 or less!,¡Requiere 5 o menos!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 2 or more!,¡Requiere 2 o más!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 3 or more!,¡Requiere 3 o más!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 4 or more!,¡Requiere 4 o más!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 5 or more!,¡Requiere 5 o más!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs 2 or 3!,¡Requiere 2 o 3!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs 2[;] 3[;] or 4!,¡Requiere 2[;] 3 o 4!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs 2[;] 3[;] 4 or 5!,¡Requiere 2[;] 3 [;] 4 o 5!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs 3 or 4!,¡Requiere 3 o 4!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs 3[;] 4 or 5!,¡Requiere 3[;] 4 o 5!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs 4 or 5!,¡Requiere 4 o 5!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,1[;] 3 or 5 only!,¡Solo 1[;] 3 o 5!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,2[;] 4 or 6 only!,¡Solo 2[;] 4 o 6!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 1!,¡Requiere 1!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 2!,¡Requiere 2!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 3!,¡Requiere 3!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 4!,¡Requiere 4!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 5!,¡Requiere 5!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Needs a 6!,¡Requiere 6!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,Dice doesn't fit!,¡El dado no sirve!,Equipment,Displayed if a dice doesn’t fit in a dice slot,
,is immune to lock and freeze,es inmune a bloqueo y congelación,Combat,Innate text,
,changes equipment every turn,cambia equipo cada turno,Combat,Innate text,
,copies your equipment,copia tu equipo,Combat,Innate text,
,Frozen,Congelado,Status Effect,Damaged by an ice spell - causes your dice to turn into 1s,
,Turns the highest dice rolled into a 1.,Transforma el dado|más alto en un 1.,Status Effect,Tooltip for Freeze,
,Frozen?,Congelado?,Status Effect,Name for Parallel Universe mode Freeze,
,Reduce all dice values by <value>.,Reduce en <value> el valor de todos los dados.,Status Effect,Tooltip for Parallel Universe mode Freeze,
,Burn,Quemadura,Status Effect,Using a burnt dice damages you,
,Sets the next dice on fire.|Costs [heart]2[] hp to extinguish.,Prende el siguiente dado.|Extinguirlo cuesta [heart]2[]PS.,Status Effect,Tooltip for Burn,
,Burn?,Quemadura?,Status Effect,Name for Parallel Universe mode Burn,
,Burning dice can be used on equipment[;] but will disable that|equipment for the rest of the turn[;] and for the next turn. ,Los dados en llamas se pueden usar en el equipo[;] pero este se desactivará|durante el resto del turno y en el siguiente turno. ,Status Effect,Tooltip for Parallel Universe mode Burn,
,Shocked,Electrocutado,Status Effect,Disables equipment at random,
,Temporarily disables random equipment.|Can use a dice to unshock.,Desactiva temporalmente equipo al azar.|Puede usar un dado para descargar.,Status Effect,Tooltip for Shock,
,Shocked?,Electrocutado?,Status Effect,Name for Parallel Universe mode Shocked,
,Temporarily disables random equipment.|Costs [heart]3[] hp to unshock.,Desactiva temporalmente equipo al azar.|Descargar cuesta [heart]3[] PS.,Status Effect,Tooltip for Parallel Universe mode Shocked,
,Weaken,Debilitado,Status Effect,Downgrades equipment at random,
,Temporarily weakens random equipment.|Equipment becomes less powerful.,Debilita temporalmente equipo al azar.|El equipo es menos potente.,Status Effect,Tooltip for Weaken,
,Weaken?,Debilitado?,Status Effect,Name for Parallel Universe mode Weaken,
,Take [sword]<value> extra damage from each attack.|([sword]1 per each point of weaken inflicted.),Recibe [sword]<value> de daño extra de cada ataque.|([sword]1 por cada punto de debilidad infligido),Status Effect,Tooltip for Parallel Universe mode Weaken,
,Silence,Silencio,Status Effect,Cannot use character skills or limit breaks,
,Cannot use special character skills or limit breaks.,No puede usar límite ni|habilidades especiales del personaje.,Status Effect,Tooltip for Silence,
,Silence?,Silencio?,Status Effect,Name for Parallel Universe mode Silence,
,Limit break is less powerful.,La habilidad especial es menos poderosa.,Status Effect,Tooltip for Parallel Universe mode Silence,
,Dodge,Evasión,Status Effect,Evade next attack,
,Avoid the next attack.,Esquiva el siguiente ataque.,Status Effect,Tooltip for Dodge,
,Dodge?,Evasión?,Status Effect,Name for Parallel Universe mode Dodge,
,50% chance to avoid the next attack[;] lasts until|something triggers it.,50% de prob. de evitar el próximo ataque[;] dura hasta|que algo lo activa.,Status Effect,Tooltip for Parallel Universe mode Dodge,
,Blind,Ciego,Status Effect,Hide dice values,
,Cannot see the dice values.,No puede ver los valores del dado.,Status Effect,Tooltip for Blind,
,Blind?,Ciego?,Status Effect,Name for Parallel Universe mode Blind,
,Cannot see remaining health.,No se puede ver la salud restante.,Status Effect,Tooltip for Parallel Universe mode Blind,
,Poison,Veneno,Status Effect,Lose health every turn,
,Lose [heart]<value> health at the start of turn. Pierces shields.|Reduced by 1 on each turn.,Pierde [heart]<value> de salud al empezar el turno. Perfora escudos.|Se reduce 1 en cada turno.,Status Effect,Tooltip for Poison,
,Poison?,Veneno?,Status Effect,Name for Parallel Universe mode Poison,
,A random piece of equipment is poisoned. Reduce the countdown|on it to zero by the end of your turn[;] or take damage.,Se envenena una pieza de equipo al azar. Reduce su contador|a cero al terminar tu turno o recibe daño.,Status Effect,Tooltip for Parallel Universe mode Poison,
,Fury,Furia,Status Effect,Double next action,
,The next equipment will be used twice.,Repite dos veces el próximo uso de equipo.,Status Effect,Tooltip for Fury,
,Fury?,Furia?,Status Effect,Name for Parallel Universe mode Fury,
,The next equipment will be used twice[;] but|cannot be used next turn.,El próximo equipo se usará dos veces[;] pero|no se puede usar en el próximo turno.,Status Effect,Tooltip for Parallel Universe mode Fury,
,Cursed,Maldito,Status Effect,Equipment has a 50% chance of failing,
,All equipment has a 50% chance to fail.|Disappears once triggered.,50 % prob. de fallo en todo el equipo.|Desaparece cuando se activa.,Status Effect,Tooltip for Curse,
,Cursed?,Maldito?,Status Effect,Name for Parallel Universe mode Curse,
,All equipment has a 50% chance to switch target.|Disappears once triggered.,Todo el equipo tiene 50% prob. de cambiar objetivo.|Desaparece cuando se activa.,Status Effect,Tooltip for Parallel Universe mode Curse,
,Confuse,Confusión,Status Effect,Equipment is mixed-up and obscured,
,Equipment is mixed-up and obscured this turn.,El equipo está mezclado y oculto en este turno.,Status Effect,Tooltip for Confuse,
,Confuse?,¿Confusión?,Status Effect,Name for Parallel Universe mode Confuse,
,Cannot see the dice values.,No se ven los valores del dado.,Status Effect,Tooltip for Parallel Universe mode Confuse,
,Thorns,Espinas,Status Effect,Enemy takes damage if they attack you,
,Enemy takes [sword]<value> damage if they attack this turn.|(1 for each [thorns] thorn.),El enemigo recibe [sword]<value> de daño si ataca en este turno.|(1 por cada [thorns] espina),Status Effect,Tooltip for Thorns,
,Thorns?,¿Espinas?,Status Effect,Name for Parallel Universe mode Thorns,
,Add +[sword]<value> to all attacks.|([sword]1 for each [thorns] thorn.),Añade +[sword]<value> a todos los ataques.|([sword]1 por cada [thorns] espina),Status Effect,Tooltip for Parallel Universe mode Thorns,
,Shield,Escudo,Status Effect,Block incoming damage,
,Blocks incoming damage.,Bloquea el daño del rival.,Status Effect,Tooltip for Shield,
,Shield?,Escudo?,Status Effect,Name for Parallel Universe mode Shield,
,Restores [heart]<value> health at the start of your next turn.|([shield] disappears after healing.),Restaura [heart]<value> de salud al iniciar tu próximo turno.|([shield] desaparecer tras curar),Status Effect,Tooltip for Parallel Universe mode Shield,
,Survive,Supervivencia,Status Effect,Survive the next fatal blow,
,Survive the next fatal blow.,Sobrevive al próximo golpe letal.,Status Effect,Tooltip for Survive,
,Survive?,Supervivencia?,Status Effect,Name for Parallel Universe mode Survive,
,Cannot be killed by anything. Counter reduces by one on each turn.|If it reaches zero[;] you die.,No se le puede matar con nada. El contador se reduce en uno en cada turno.|Si llega a cero[;] mueres.,Status Effect,Tooltip for Parallel Universe mode Survive,
,Vampire,Vampiro,Status Effect,Can only be killed with a wooden stake,
,Can only be killed with a wooden stake.,Solo se puede matar con |una estaca de madera.,Status Effect,Tooltip for Vampire ,
,Vampire?,Vampiro?,Status Effect,Name for Parallel Universe mode Vampire,
,Restore all health when defeated[;] once.,Restaura toda la salud (1 vez) si sufre derrota.,Status Effect,Tooltip for Parallel Universe mode Vampire,
,Re-Equip_Next,Volver a equipar siguiente,Status Effect,Re-equip the next equipment you use,
,The next equipment you use can be used again on this turn.,El próximo equipo que uses|puede reutilizarse en este turno.,Status Effect,Tooltip for Re-Equip,
,Re-Equip_Next?,Volver a equipar siguiente?,Status Effect,Name for Parallel Universe mode Re-Equip Next,
,The next dice you use can be used again on this turn.,El siguiente dado que uses puede reutilizarse en este turno.,Status Effect,Tooltip for Parallel Universe mode Re-Equip Next,
,Reduce by,Reduce,Status Effect,Evade damage from every attack,
,Reduce_by,reduce,Status Effect,Evade damage from every attack,
,Take less damage from every attack this turn.,Recibe menos daño de cualquier|ataque en este turno.,Status Effect,Tooltip for Reduce By,
,Reduce_by?,Reduce?,Status Effect,Name for Parallel Universe mode Reduce By,
,The next dice you use can be used again on this turn.,El siguiente dado que uses puede reutilizarse en este turno.,Status Effect,Tooltip for Parallel Universe mode Reduce by,
,Locked,Bloqueado,Status Effect,Cannot use a dice,
,Cannot use dice.,No puede usar dados.,Status Effect,Tooltip for Lock,
,Locked?,Bloqueado?,Status Effect,Name for Parallel Universe mode Lock,
,Locked dice need to be used first[;] before you can use any other dice.,Los dados bloqueados tienen que usarse antes para poder usar cualquier otro.,Status Effect,Tooltip for Parallel Universe mode Lock,
,Dice_Trigger_1,Dice_Trigger_1,Status Effect,You can ignore the _ character here when translating,
,Dice_Trigger_2,Dice_Trigger_2,Status Effect,You can ignore the _ character here when translating,
,Dice_Trigger_3,Dice_Trigger_3,Status Effect,You can ignore the _ character here when translating,
,Dice_Trigger_4,Dice_Trigger_4,Status Effect,You can ignore the _ character here when translating,
,Dice_Trigger_5,Dice_Trigger_5,Status Effect,You can ignore the _ character here when translating,
,Dice_Trigger_6,Dice_Trigger_6,Status Effect,You can ignore the _ character here when translating,
,Roll an extra dice next turn if the enemy rolls a 1.,Lanza un dado extra el próximo turno si el enemigo saca un 1.,Status Effect,Tooltip for Dice Trigger,
,Roll an extra dice next turn if the enemy rolls a 2. ,Lanza un dado extra el próximo turno si el enemigo saca un 2. ,Status Effect,Tooltip for Dice Trigger,
,Roll an extra dice next turn if the enemy rolls a 3. ,Lanza un dado extra el próximo turno si el enemigo saca un 3. ,Status Effect,Tooltip for Dice Trigger,
,Roll an extra dice next turn if the enemy rolls a 4. ,Lanza un dado extra el próximo turno si el enemigo saca un 4. ,Status Effect,Tooltip for Dice Trigger,
,Roll an extra dice next turn if the enemy rolls a 5. ,Lanza un dado extra el próximo turno si el enemigo saca un 5. ,Status Effect,Tooltip for Dice Trigger,
,Roll an extra dice next turn if the enemy rolls a 6. ,Lanza un dado extra el próximo turno si el enemigo saca un 6. ,Status Effect,Tooltip for Dice Trigger,
,Dice_Trigger_1?,Dice_Trigger_1?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Dice_Trigger_2?,Dice_Trigger_2?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Dice_Trigger_3?,Dice_Trigger_3?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Dice_Trigger_4?,Dice_Trigger_4?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Dice_Trigger_5?,Dice_Trigger_5?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Dice_Trigger_6?,Dice_Trigger_6?,Status Effect,Parallel Universe mode - You can ignore the _ character here when translating,
,Roll an extra 1 next turn if the enemy rolls a 1.,Lanza un 1 extra el próximo turno si el enemigo saca un 1.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Roll an extra 2 next turn if the enemy rolls a 2.,Lanza un 2 extra el próximo turno si el enemigo saca un 2.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Roll an extra 3 next turn if the enemy rolls a 3.,Lanza un 3 extra el próximo turno si el enemigo saca un 3.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Roll an extra 4 next turn if the enemy rolls a 4.,Lanza un 4 extra el próximo turno si el enemigo saca un 4.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Roll an extra 5 next turn if the enemy rolls a 5.,Lanza un 5 extra el próximo turno si el enemigo saca un 5.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Roll an extra 6 next turn if the enemy rolls a 6.,Lanza un 6 extra el próximo turno si el enemigo saca un 6.,Status Effect,Tooltip for Parallel Universe mode Dice Trigger,
,Counter_1,Counter_1,Status Effect,You can ignore the _ character here when translating,
,Counter_2,Counter_2,Status Effect,You can ignore the _ character here when translating,
,Counter_3,Counter_3,Status Effect,You can ignore the _ character here when translating,
,Counter_4,Counter_4,Status Effect,You can ignore the _ character here when translating,
,Counter_5,Counter_5,Status Effect,You can ignore the _ character here when translating,
,Counter_6,Counter_6,Status Effect,You can ignore the _ character here when translating,
,All enemy dice that roll 1 are locked.,Todos los lanzamientos enemigos se bloquean en 1.,Status Effect,Tooltip for Counterspell,
,All enemy dice that roll 2 are locked.,Todos los lanzamientos enemigos se bloquean en 2.,Status Effect,Tooltip for Counterspell,
,All enemy dice that roll 3 are locked.,Todos los lanzamientos enemigos se bloquean en 3.,Status Effect,Tooltip for Counterspell,
,All enemy dice that roll 4 are locked.,Todos los lanzamientos enemigos se bloquean en 4.,Status Effect,Tooltip for Counterspell,
,All enemy dice that roll 5 are locked.,Todos los lanzamientos enemigos se bloquean en 5.,Status Effect,Tooltip for Counterspell,
,All enemy dice that roll 6 are locked.,Todos los lanzamientos enemigos se bloquean en 6.,Status Effect,Tooltip for Counterspell,
,Counter_1,Counter_1,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,Counter_2,Counter_2,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,Counter_3,Counter_3,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,Counter_4,Counter_4,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,Counter_5,Counter_5,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,Counter_6,Counter_6,Status Effect,Parallel Universe mode – You can ignore the _ character here when translating,
,All enemy dice that roll 1 must be used first.,Los lanzamientos enemigos que saquen 1 se deben usar primero.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
